Timestamp,1. Jak najchętniej Małgosia i Krzysiek spędzają wspólnie czas? ,2. Jakie będą przyszłe obowiązki domowe Krzysztofa?,3. Jak wprawić Małgosię w dobry humor?,4. Jakie cechy ceni najbardziej Małgosia w Krzyśku?,5. Czym najbardziej imponuje Małgosia Krzyśkowi?,6. Jaka jest ulubiona planszówka Małgosi i Krzysia?,7. Jaki najczęściej obiad robią wspólnie?,8. Czego będzie dotyczyć pierwsza sprzeczka małżeńska?,9. Jak zabiją czas podczas jazdy pociągiem?,10. Jakie przedmioty najczęściej gubią?,11. Jaka będzie pierwsza duża inwestycja pary młodej w przyszłym roku?
23/04/2025 23:25:19,Jeżdżenie na kajaki,Praca i zarabianie pieniędzy ,Opowiedzieć kawal,Że jest pomocny ,Że jest pomocna,Dixit,Szybki i łatwy ,Gdzie puścić dzieci do szkoły ,Czytają książki ,Klucze ,Staranie się o dziecko 
23/04/2025 23:30:22,Wyjścia w góry,Wynoszenie śmieci,Kazać Krzyśkowi opowiedzieć żart,Wzrost,Urodą,Brydż,Schabowy z ziemniakami,Krzysztof nie wyniósł śmieci,Czytają książki,Klucze,Skup udziałów astora
24/04/2025 00:01:37,rozmowy,"odkurzanie, zakupy",jak wszystko jest uporządkowane,wiara,zorganizowanie,wyspa skyene,risotto z mięsem mielonym,etyki czegoś,"czytają, oglądają serial (ten o szkotach)",długopis,nowemeble do mieszkania
24/04/2025 08:16:39,Chodzenie w góry ,Naprawianie sprzętów ,Dobra ekipa,Dobre serce,Szczerość,Top 10,Makaron z czymś ,Spania,Krzyżówki ,Czołówka ,Samochód 
24/04/2025 14:56:17,Rozmawiają,Robienie zakupów,Zrobić jej kawę,Wiarę,Zorganizowaniem,Cytadela,Szybki i prosty,Dylematu etycznego,Oglądają serial,Klucze,Meble do mieszkania
24/04/2025 16:03:26,Rozmawiając,Naprawa wszelkich usterek ,Opowiedzieć wesołą historię,Troskliwość,Zorganizowaniem,Farmer,Makaron z sosem,Przejazdów kolejowych,Słuchają podcastów,Kominy,Remont Weissa
25/04/2025 12:57:41,Rozmawiając,Zakupy,Zrobić jej coś dobrego do jedzenia,Gotowość do ofiarności,Swoim dobrym sercem,Cytadela,Spagetti,Gdzie powiesić obraz,Czytając książkę,Czapki,Auto
25/04/2025 12:57:56,Podróżując ,Wszystkie!,Nakarmić i zabrać w góry ,Cierpliwość opiekuńczość ,Otwartością i dobrodusznością ,Pomidor ,Pomidor ,Kto gotuje obiad ,Czytanie albo słuchanie ,,Wyjazd poślubny 
25/04/2025 12:59:09,W górach,Moderowanie excela,,,,Terraformacja,Makaron,,Grą w karty,Długopisy,Wymiana studencka
25/04/2025 13:01:21,Grając w brydża,Naprawianie lamp,Zaskoczyć ją czymś miłym,"Poczucie humoru, odpowiedzialność",Otwartością i zdolnościami towarzyskimi,Tajniacy,Makaron z sosem,Gdzie postawić kosze na śmieci,Czytając,Rękawiczki,Samochód
25/04/2025 13:04:08,Śpią,Sprzątanie górnych półek,Dać jej jeść,Wszystkie,Wszystkim,Chińczyk,Makaron,Daty ślubu,Rozmową,Klucze,Samochód
25/04/2025 13:05:38,Chodzą po górach,Wynoszenie śmieci,Wręczyć róże,Odpowiedzialność,Urodą,Osadnicy z Catanu,Lasagne,Niedosolonej zupy,Śpiewają piosenki,Klucze,Zakup samochodu
25/04/2025 13:06:33,Kajaki,Zmywanie,Spacer ,Wrażliwość ,Inteligencją,Catan,Makaron ,Meblowania,Muzyka ,Słuchawki ,Podróż 
25/04/2025 13:08:10,wycieczka w góry,sprzatanie,podarowac kwiaty,dobroc,zorganizowaniem,-,makaron,sprzatania,graja w gre,-,odkurzacz
25/04/2025 13:08:41,wycieczki,gotowanie,wziąć ją na tańce lindy hop,dobre zorganizowanie,dobrym zorganizowaniem,nie wiem,nie wiem,kto posprząta mieszkanie,spanie i granie,nie wiem,samochdód
25/04/2025 13:15:17,Wyjzady i wycieczki ,Gotownie,Pozwolić jej spać ,Troskliwość,Zorganizowaniem ,7 cudów świata ,Makaron,Mieszkania,Śpią ,Nakrycia głowy ,Remont
25/04/2025 13:44:12,Na wakacjach,Wynoszenie śmieci,Dać czekoladę ,Szczerość ,Komunikatywnością,Elektrownie,Spaghetti ,Trasy na wycieczce,Grają w gry ,Rękawiczki,Samochód 
25/04/2025 13:45:41,aktywnie ,"odkurzanie, wyjmowanie naczyń ze zmywarki ",zrobić jej dobrą kawę ,wzrost,zdecydowaniem,Diuna,Makaron z pesto,- ,Obserwując ludzi & rozmową ,Okulary i klucze,Samochód 
25/04/2025 13:57:07,rozmawiają,ogarnianie płatności/finansów,przygotować dobra kawę lub herbatkę,odpowiedzialność,zaradnością,Eldorado,lasagne,wakacji,grają w gry,parasole,thermomix
25/04/2025 14:13:06,W ruchu,Parzenie kawy żonie,Połaskotać ,Elokwencję,Talentem organizatorskim,Dixit,Rosół,Z którą rodzina spędzić wigilię Bożego Narodzenia ,Rozmową,Klucze,Auto
25/04/2025 14:24:51,"Na wycieczkach, wyjazdach",Mycie garów i zakupy :),Ona jest zawsze uśmiechnięta! Uśmiech Krzyśka też pomoże,"Na razie wyszstkie, potem będzie torchę gorzej:) Odpowiedzialność i pozytywne myślenie",Mądrością i pozytwnym nastawieniem do życia,Times'up,Makaron z ważywami i sałatką,Taka poważna? Dlaczego Krzysiek wrócił tak późno :),Rozmową i czytaniem,"Ubrania, okulary",Może samochód? :)
25/04/2025 14:46:16,Na podróżach ,Mycie łazienki ,Posprzątać po sobie ,"Poczucie humoru, wesołość ",Zorganizowaniem,,Jakiś makaron ,Bałaganu ,Rozmowy ,Rękawiczki ,Auto ?
25/04/2025 14:46:24,W górach,Wszystkie,Komplementy,Wzrost,Zorganizowaniem,Szachy,Pierogi,Sprzątania,Czytają,Klucze,Samochód
25/04/2025 14:49:41,remont mieszkania,naprawa mebli,zaprosić na imprezę rodzinną,zaradność,życzliwość,Osadnicy z Catanu,kurczaka z ryżem,ustawienia mebli,spanie,kombinerki,meble
25/04/2025 15:46:31,Wychodzą na pole,Odkurzanie,Lodami śmietankowymi,Wzrost,Inteligencją,Chińczyk,Pyry z gzikiem,Czy Erich Fromm wiedział jak żyć?,Ciupagą,Wątek,Wózek
25/04/2025 16:33:58,,te same co Malgosi,zapraszając ją do tanca,religijność i wzost,inteligencją,scrabble,pizze,kto idzie rano po bułki i gazete,odliczają czas do.konca podróży ,chusteczki do nosa,kajaki 2 osobowy
25/04/2025 16:39:56,Ski toury,Sprzątanie,Połaskotać ją,Uśmiech ,Dobrym sercem,Monopoli,Lasagne,Kto miał wyrzucić śmieci ,Liczą drzewa za oknem,Klucze,Tandem
25/04/2025 17:01:32,W górach!,"otwieranie ogórków kiszonych, wyprowadzanie na spacer psa, dzieci lub wyrzucanie śmieci ","zrobić pyszną herbatkę, powiedzieć komplement","Odpowiedzialność, dobra organizacja","Zaradnością, urokiem",Libretto,Makaron z kiełbasą;),Najpierw płatki potem mleko czy najpierw mleko potem płatki ,Czytają książki,Telefon ,Termomikser
25/04/2025 17:37:35,Planszówki,wynoszenie śmieci,Dać jej coś dobrego do jedzenia,Serdeczność,Zorganizowanie,Bridge,makaron,plamu wycieczki w góry,krzyżówki,klucze,meble
25/04/2025 18:19:47,Aktywnie,"wszystkie, których nie lubi Małgosia",Zabrać na wycieczkę w góry,Wzrost,pomysłowością,kółko i krzyżyk,parówki,Morze czy góry,grając w króla ciszy,telefony,w siebie
25/04/2025 18:23:08,Grają w planszówki,"zarządzanie finansami, wyrzucanie śmieci, odkurzanie",zabrać ją na spacer,"odpowiedzialność, poczucie humoru, zaradność","inteligencją, urodą, pasjami, empatią",Dominion,tosty francuskie,urządzenia mieszkania,rozmawiając,"gumki do włosów, okulary przeciwsłoneczne",remont mieszkania
25/04/2025 18:58:22,Górskie wędrówki,Wynoszenie śmieci,Opowiedzieć dobry żart ,Odpowiedzialność ,Zaradnością,Scrabble,Makaron,Sprzątania,Krzyżówki,Okulary,Samochód
25/04/2025 19:11:55,W górach,,,Odpowiedzialność,,,,,,,
25/04/2025 20:09:39,Na randkach,Wyrzucanie śmieci ,Kupić jej kwiaty,że jest wysoki,urodą,Chińczyk,Schabowe,podlewania kwiatków,snem,grzebień,pies
25/04/2025 20:44:34,"aktywnie, góry, kajaki","wynoszenie śmieci, sprzątanie łazienki","zorganizować imprezkę, kupić kwiatek w doniczce, oglądnąć razem film","wysokość :-), obowiązkowość, uczciwość, opiekuńczość","zorganizowaniem, mądrymi wypowiedziami, umiarem, spokojem",nie wiem,kurczak,zakupów,"komórka, rozmowa",szpilki od namiotu,samochód
25/04/2025 21:40:07,Chodzą w góry ,Segregacja śmieci ,Zaproponować wycieczkę ,Opiekuńczość ,Zaradność ,Dixit,Spaghetti  ,U której rodziny święta,Oglądanie zdjęć ,Klucze ,Samochód 
25/04/2025 21:45:25,W terenie,Sprzątanie górnych półek,Kawusią,Humor,Uporem,Wybuchające kotki,Makaron z sosem,Auta,Grą w łapki,Telefon,Auto
25/04/2025 21:51:31,Rozmowa,Odkurzanie,Spotkanie z przyjaciółmi ,Dobroć,Mądrość ,Monopoly,Makaron,Skarpety na podłodze ,Słuchanie muzyki ,Gumka do włosów/okulary,Zmywarka
25/04/2025 22:13:47,Kolacja?,Nie wiem,Wygłupiac się ,"Spokój, zorganizowanie, odpowiedzialność","Spokój, zorganizowanie, odpowiedzialność.",Nie wiem.,Z makaronem.,Kto ma wynieść śmieci ,Na komórce 🤪,"Komórka,klucze.",Meble
25/04/2025 22:25:46,Grają w planszówki,Wyrzucanie śmieci ,Zrobić jej obiad,Prawość ,Zorganizowanie ,Bankrut,Ryż z warzywami na patelni ,Wyglądu mieszkania,Słuchają podcastów ,Kask rowerowy,Meble
